video_id,time,author,text,emocja,pewnosc_emocji
P9i0WWOhVRg,3 tygodnie temu,@3hoodgoods,Tadeusz Sznuk na PREZYDENTA! 😂,LABEL_5,0.600923478603363
hDemaLdJbr4,2 tygodnie temu,@barbarabromirska8238,Co Hołownia robi w polityce???????????!??.?????????????????????¿??????????,LABEL_0,0.8971628546714783
XA85sfEWnXo,4 dni temu,@kodi-78,Siur,LABEL_5,0.9238833785057068
KiTg4fAf_zQ,1 miesiąc temu,@janina3827,Nawrocki nie dorosłas  do pięt Trzaskoskmu😅😅😅😅😅,LABEL_0,0.9005756974220276
hDemaLdJbr4,2 tygodnie temu,@tomrocochel1445,Jego Zajebistość Rafał IV Fajny😆,LABEL_4,0.5314775109291077
hK8lGMkQKZk,4 dni temu,@robertkrawczak7105," @aleksanderkarch2620  chyba coś Ci się pomyliło, przecież Mentzen jest stabilny w poglądach, a Hołownia wiecznie zmienia",LABEL_0,0.871415376663208
nrndqzixNvw,2 dni temu,@LukianHeretyk,Ja również ;),LABEL_5,0.7761088013648987
50iuwe-3GTA,3 dni temu,@HenrykFryc,100/100,LABEL_5,0.8359475135803223
vKShTQAk8IE,2 miesiące temu,@MxAxRxCxIxNxO,Nie zniechęcicie mnie kłamstwami do konfederacji...,LABEL_0,0.9199371337890625
D-LSi_fUaK0,2 tygodnie temu,@blazkovitzR,"No tak, chwalicie Mentzena, bo on teraz na usługach PiSu, a wy i PiS to 😍",LABEL_0,0.7453441023826599
-JH9onEuq9M,6 dni temu,@kotWbutach639,"Mamy ciebie ,podwyzki ktorych nic nie przebije,​ @Route5Manager ",LABEL_5,0.7037442326545715
KiTg4fAf_zQ,1 miesiąc temu,@ukasz263,Rafał stchórzył żeby pójść do republiki Nawrocki nie stchórzył żeby pójść do TVP dla mnie wygrany jest w tym starciu Nawrocki,LABEL_0,0.7035384178161621
7QAFj0G2N34,5 dni temu,@Ferdek.Kiepski,"Jaki by nie był dobry, zły, neutralny.....skoro jest w grze powinien mieć takie same prawa jak inni kandydaci",LABEL_0,0.6423261761665344
Vx5_YGvyhgY,3 tygodnie temu,@luki-ui1ku,"Powiedz ile kasy ""zarobiłeś""  od Orlenu i Anwilu za rządów PIS?",LABEL_0,0.8366366624832153
2K0MIRUzPwI,2 tygodnie temu (edytowany),@thomasmusicset,"KPO nie jest pożyczką, bo jest już samo w sobie opłacone z podatków z całej Europy. Unia Europejska nie daje  nikomu pieniędzy na kredyt.",LABEL_0,0.5893438458442688
sTLFTbobcQw,2 dni temu,@300miles,"Trzaskowski wydaje się być nie poczytalny, proszę spojrzeć na agresywną mowę ciała i treści które wypowiada ! Proszę się temu przyjrzeć to nie jest normalne",LABEL_0,0.8768052458763123
-zVa1ibe11c,4 tygodnie temu,@romantyk49," @piotrjaworski423  rozumiem że oficerowie prowadzący innych z CIA ,BND czy Mosadu to spoko a zdrówko służy.",LABEL_0,0.9063666462898254
bvlzQvdgqLU,2 dni temu,@pawepys7494,"Człowieku skup się na sprawach ważnych. Naprawde nie widzisz, że sprawa aborcji była tylko po to aby nas podzielić?? Jakiej części społeczeństwa ona dotyczy? 0,01%?? A wiesz, że są kwestie które dotykają 100% nas?? SŁUŻBA ZDROWIA chociażby (5-10% najbogatszych ma to w upie więc nie 100, ale rozumiesz - tak)",LABEL_0,0.8444982767105103
Z89Qq74Fs00,1 miesiąc temu,@sylwiamakiela8976,Nie ogladam Republiki ale pięknie ich rozegrali .,LABEL_0,0.7400813102722168
HU_tOLI2Hvc,3 dni temu,@gallanonim706,Deep State i te sprawy...,LABEL_5,0.7113160490989685
Bo_BY3jPsSY,2 tygodnie temu,@BAH_YT,Tak. Był taki łachudra co na cmentarzach widział plusy.,LABEL_0,0.6659892201423645
zeyvbvBSD2I,1 miesiąc temu,@gregciu1,"Przeciętny pisowiec nie przeczyta nawet jednego zdania z Twojego postu, a nawet jeśli, to i tak nie zrozumie. Do nich dociera tylko ""óne dajo"".",LABEL_0,0.8625723123550415
-JH9onEuq9M,6 dni temu,@zenonfabianowicz8700,W punkt,LABEL_5,0.9323803186416626
vQD_ym0qbWo,4 tygodnie temu,@JaJa-z1t1v,"@ ale powinien to potraktować jako szansę na dotarcie do nowych wyborców, a nie jako zagrożenie.",LABEL_1,0.5502497553825378
zYMLdtQoGNU,1 miesiąc temu,@jolantadropik299,"😂😂😂😂😂😂
Co za PAJAC !!!!",LABEL_0,0.9009695649147034
acqYOuWJ2XE,3 dni temu,@pawellewandowski2888,Brawo Mentzen ❤,LABEL_4,0.9370815753936768
ndNaCDxoRdo,1 miesiąc temu,@piotrlewandowski3726,https://www.youtube.com/shorts/dr90Tqkdn1I,LABEL_5,0.919563353061676
Ty4lnOFWtl8,2 tygodnie temu,@piotrk1919,@the_dewix Dokładnie tak by się wydarzyło niestety mają już to wypracowane. Ludzie w Rumuni nie powtórzyli akcji z Nicolae Ceaușescu więc mogą robić co chcą.,LABEL_0,0.7621623873710632
hDemaLdJbr4,2 tygodnie temu,@kkubek5748,"Tak czy tak prowadzący zachowali się bardzo ładnie, po prostu trochę ich szkoda",LABEL_0,0.8090359568595886
DNJ2CQ7D-84,13 dni temu,@Wiktoria-yy8ol,"D L A     K Ł A M C Ó W
nie powinno być miejsca w polityce !!!
Wafel ........ się pokruszył !!!
😂😂",LABEL_0,0.923891544342041
